year,disease,alder,køn,uddannelse,arbejdsmarked,allocator,type,outcome
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,0.413061743533847
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,0.274509499324251
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Cancer_Prostata,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Cancer_Prostata,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,0.0837178642056691
-2,Cancer_Prostata,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_KOL,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_KOL,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,1.54305166199439
-2,Andre Lidelser_KOL,65+ år,Mand,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,0.128846804193439
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Inaktiv,Psykiatrien_Indlæggelse,1,0.221047573282076
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Faglært,Aktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Faglært,Aktiv,Psykiatrien_Indlæggelse,1,0.06327329678935
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Faglært,Aktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Udenfor,Psykiatrien_Ambulant,0,0
-2,Andre Lidelser_Kronisk Leversygdom,50-65 år,Mand,Ufaglært,Udenfor,Psykiatrien_Ambulant,0,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,0,2.41017653167186
-2,Andre Lidelser_Kronisk Leversygdom,50-65 år,Mand,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,0,2.8359375
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Udenfor,Psykiatrien_Skadestue,0,0
-2,Andre Lidelser_Kronisk Leversygdom,50-65 år,Mand,Ufaglært,Udenfor,Psykiatrien_Skadestue,0,0
-2,Andre Lidelser_Kronisk Leversygdom,50-65 år,Kvinde,Videregående Uddannelse,Aktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Kronisk Leversygdom,50-65 år,Kvinde,Videregående Uddannelse,Aktiv,Psykiatrien_Indlæggelse,1,0
-2,Andre Lidelser_Kronisk Leversygdom,50-65 år,Kvinde,Videregående Uddannelse,Aktiv,Psykiatrien_Skadestue,1,0
-2,Psykiske Lidelser_Svær,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Psykiske Lidelser_Svær,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,3.26156941649899
-2,Andre Lidelser_Ryg- og Nakkesmerter,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,0.347254672897196
-2,Psykiske Lidelser_Svær,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Kronisk Leversygdom,18-49 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Kronisk Leversygdom,18-49 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Indlæggelse,1,0.315068493150685
-2,Andre Lidelser_Kronisk Leversygdom,18-49 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,0.988461538461539
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,5.7961740308109
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Videregående Uddannelse,Udenfor,Psykiatrien_Ambulant,0,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Videregående Uddannelse,Udenfor,Psykiatrien_Indlæggelse,0,1.09634551495017
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Videregående Uddannelse,Udenfor,Psykiatrien_Skadestue,0,0
-2,Andre Lidelser_Hjertekar,18-49 år,Mand,Faglært,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,18-49 år,Mand,Faglært,Inaktiv,Psykiatrien_Indlæggelse,1,0.175029868578256
-2,Andre Lidelser_Hjertekar,18-49 år,Mand,Faglært,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Indlæggelse,1,0.3315625
-2,Andre Lidelser_Ryg- og Nakkesmerter,65+ år,Kvinde,Faglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Diabetes II_Uden Komplikationer,50-65 år,Mand,Ufaglært,Aktiv,Psykiatrien_Ambulant,1,0
-2,Diabetes II_Uden Komplikationer,50-65 år,Mand,Ufaglært,Aktiv,Psykiatrien_Indlæggelse,1,0.678571428571429
-2,Diabetes II_Uden Komplikationer,50-65 år,Mand,Ufaglært,Aktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Faglært,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Faglært,Inaktiv,Psykiatrien_Indlæggelse,1,0.654503990877993
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Faglært,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Cancer_Lunge,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Cancer_Lunge,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,0.25531914893617
-2,Cancer_Lunge,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
