year,disease,alder,køn,uddannelse,arbejdsmarked,allocator,type,outcome
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Ambulant,1,0.000840202556940754
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Faglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Udenfor,Somatikken_Ambulant,1,0.0104391592748513
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Faglært,Udenfor,Somatikken_Skadestue,1,0
-2,Cancer_Prostata,65+ år,Mand,Faglært,Udenfor,Somatikken_Ambulant,1,0.000494396835860251
-2,Cancer_Prostata,65+ år,Mand,Faglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Cancer_Prostata,65+ år,Mand,Faglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_KOL,65+ år,Mand,Faglært,Udenfor,Somatikken_Ambulant,1,0.00160192230676812
-2,Andre Lidelser_KOL,65+ år,Mand,Faglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_KOL,65+ år,Mand,Faglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Ufaglært,Udenfor,Somatikken_Ambulant,1,0.00577981369323946
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Ufaglært,Udenfor,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Mand,Ufaglært,Udenfor,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Inaktiv,Somatikken_Ambulant,1,0.00384430562229697
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Inaktiv,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Inaktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Faglært,Aktiv,Somatikken_Ambulant,1,0.00516836335160533
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Faglært,Aktiv,Somatikken_Indlæggelse,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Faglært,Aktiv,Somatikken_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Mand,Ufaglært,Udenfor,Somatikken_Ambulant,0,0.0508826583592939
