year,assignment,allocator,køn,alder,arbejdsmarked,uddannelse,type,total_N,total_n,cost,qty,weight
-2,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,8010.31962854207,38.5733372485685,0.194631511768572
-2,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,1823.77696471394,38.5733372485685,0.194631511768572
-1,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,8529.63356188519,44.4901874418832,0.194631511768572
-1,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,1971.159488083,44.4901874418832,0.194631511768572
0,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,8426.24354426663,46.1407527039593,0.194631511768572
0,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,1918.80256839426,46.1407527039593,0.194631511768572
1,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,4607.65803650957,24.7567660157588,0.194631511768572
1,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,1035.15486076445,24.7567660157588,0.194631511768572
2,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,3312.49183575589,18.8448098663926,0.194631511768572
2,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,776.621745705477,18.8448098663926,0.194631511768572
3,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,2650.43845054569,15.1175549356433,0.194631511768572
3,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,626.57753780649,15.1175549356433,0.194631511768572
4,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,2209.05522977536,12.2462682914893,0.194631511768572
4,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,523.849202270836,12.2462682914893,0.194631511768572
5,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,1861.37446287868,10.1353203151764,0.194631511768572
5,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,104983,20433,447.032253217834,10.1353203151764,0.194631511768572
-2,Diabetes II_Uden komplikationer,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,9643.12458717476,40.680598238066,0.132136766019654
-2,Diabetes II_Uden komplikationer,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,2004.69469575907,40.680598238066,0.132136766019654
-1,Diabetes II_Uden komplikationer,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,10334.471753739,45.4216349108789,0.132136766019654
-1,Diabetes II_Uden komplikationer,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,2111.57300553165,45.4216349108789,0.132136766019654
0,Diabetes II_Uden komplikationer,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,10461.2540114731,47.0921942224954,0.132136766019654
0,Diabetes II_Uden komplikationer,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,2077.95795738578,47.0921942224954,0.132136766019654
1,Diabetes II_Uden komplikationer,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,8576.12735505019,38.6086867445196,0.132136766019654
1,Diabetes II_Uden komplikationer,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,1690.49027453391,38.6086867445196,0.132136766019654
2,Diabetes II_Uden komplikationer,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,7804.53649661955,35.3855767260807,0.132136766019654
2,Diabetes II_Uden komplikationer,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,1532.21269002254,35.3855767260807,0.132136766019654
3,Diabetes II_Uden komplikationer,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,7345.55555623848,32.8449088301578,0.132136766019654
3,Diabetes II_Uden komplikationer,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,1414.50643515673,32.8449088301578,0.132136766019654
4,Diabetes II_Uden komplikationer,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,6906.61956566277,30.1446424912928,0.132136766019654
4,Diabetes II_Uden komplikationer,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,1324.76087686949,30.1446424912928,0.132136766019654
5,Diabetes II_Uden komplikationer,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,6693.17478795329,27.6279450932186,0.132136766019654
5,Diabetes II_Uden komplikationer,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,1,36939,4881,1252.65059004302,27.6279450932186,0.132136766019654
-2,Cancer_Tarm,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,4544.95316287879,19.6780303030303,0.230115493571584
-2,Cancer_Tarm,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,1311.82820549242,19.6780303030303,0.230115493571584
-1,Cancer_Tarm,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,5631.1099905303,24.5568181818182,0.230115493571584
-1,Cancer_Tarm,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,1407.90925189394,24.5568181818182,0.230115493571584
0,Cancer_Tarm,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,6541.57126420455,27.6605113636364,0.230115493571584
0,Cancer_Tarm,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,1169.71970170455,27.6605113636364,0.230115493571584
1,Cancer_Tarm,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,2309.18012310606,11.8191287878788,0.230115493571584
1,Cancer_Tarm,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,591.434502840909,11.8191287878788,0.230115493571584
2,Cancer_Tarm,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,1864.90542613636,9.89157196969697,0.230115493571584
2,Cancer_Tarm,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,504.292362689394,9.89157196969697,0.230115493571584
3,Cancer_Tarm,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,1605.68439393939,8.55539772727273,0.230115493571584
3,Cancer_Tarm,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,457.812073863636,8.55539772727273,0.230115493571584
4,Cancer_Tarm,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,1460.80634469697,7.90767045454545,0.230115493571584
4,Cancer_Tarm,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,409.701709280303,7.90767045454545,0.230115493571584
5,Cancer_Tarm,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,1358.13746685606,7.43465909090909,0.230115493571584
5,Cancer_Tarm,Receptpligtig medicin_Patientandel,Mand,65+ år,Udenfor,Faglært,0,9178,2112,398.216557765152,7.43465909090909,0.230115493571584
-2,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,1884.15455361149,6.98026020637057,0.021232008991932
-2,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,868.129183490355,6.98026020637057,0.021232008991932
-1,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,2041.92012113055,7.45087483176312,0.021232008991932
-1,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,937.423239120682,7.45087483176312,0.021232008991932
0,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,2389.21363840287,9.79901301031853,0.021232008991932
0,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,1109.09037685061,9.79901301031853,0.021232008991932
1,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,2123.72003140422,7.93584567070435,0.021232008991932
1,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,955.657559443697,7.93584567070435,0.021232008991932
2,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,2120.92826379542,7.79946164199192,0.021232008991932
2,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,938.273867205025,7.79946164199192,0.021232008991932
3,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,2175.85820995962,8.1507402422611,0.021232008991932
3,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,919.691453566622,8.1507402422611,0.021232008991932
4,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,2156.86773441005,8.25706594885599,0.021232008991932
4,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,915.017595334231,8.25706594885599,0.021232008991932
5,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Offentlig andel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,2095.22920592194,8.32974427994616,0.021232008991932
5,Andre lidelser_Nedre luftvejsinfektioner,Receptpligtig medicin_Patientandel,Kvinde,18-49 år,Aktiv,Videregående Uddannelse,1,104983,2229,894.681920143562,8.32974427994616,0.021232008991932
-2,Andre lidelser_Apopleksi,Receptpligtig medicin_Offentlig andel,Mand,65+ år,Udenfor,Faglært,1,64594,12679,5846.24541683098,30.3546020979573,0.196287580889866
